Afghanistan;93;;
Afghanistan Mobile;937;;
Afghanistan Mobile AT;9375;;
Afghanistan Mobile AWCC;9370;;
Afghanistan Mobile AWCC;93708996;;
Afghanistan Mobile AWCC;93708997;;
Afghanistan Mobile Etisalat;9378;;
Afghanistan Mobile MTN;9377;;
Afghanistan Mobile Roshan;9379;;
Afghanistan Mobile Roshan;93798002;;
Afghanistan Mobile Roshan;93798009;;
Albania;355;;
Albania;35538;;
Albania Albtelekom;355222;;
Albania Albtelekom;355242;;
Albania Albtelekom;355322;;
Albania Albtelekom;355342;;
Albania Albtelekom;355352;;
Albania Albtelekom;355472;;
Albania Albtelekom;355522;;
Albania Albtelekom;355532;;
Albania Albtelekom;355542;;
Albania Albtelekom;355822;;
Albania Albtelekom;355832;;
Albania Albtelekom;355842;;
Albania Albtelekom;355852;;
Albania Albtelekom;3552112;;
Albania Albtelekom;3552122;;
Albania Albtelekom;3552132;;
Albania Albtelekom;3552142;;
Albania Albtelekom;3552152;;
Albania Albtelekom;3552162;;
Albania Albtelekom;3552172;;
Albania Albtelekom;3552182;;
Albania Albtelekom;3552192;;
Albania Albtelekom;3552712;;
Albania Albtelekom;3552812;;
Albania Albtelekom;3553112;;
Albania Albtelekom;3553122;;
Albania Albtelekom;3553132;;
Albania Albtelekom;3553612;;
Albania Albtelekom;3553682;;
Albania Albtelekom;3553712;;
Albania Albtelekom;3553812;;
Albania Albtelekom;3553822;;
Albania Albtelekom;3553912;;
Albania Albtelekom;3553922;;
Albania Albtelekom;3553932;;
Albania Albtelekom;3555112;;
Albania Albtelekom;3555122;;
Albania Albtelekom;3555132;;
Albania Albtelekom;3555142;;
Albania Albtelekom;3555542;;
Albania Albtelekom;3555612;;
Albania Albtelekom;3555632;;
Albania Albtelekom;3555712;;
Albania Albtelekom;3555732;;
Albania Albtelekom;3555772;;
Albania Albtelekom;3555812;;
Albania Albtelekom;3555822;;
Albania Albtelekom;3555912;;
Albania Albtelekom;3558112;;
Albania Albtelekom;3558122;;
Albania Albtelekom;3558132;;
Albania Albtelekom;3558142;;
Albania Albtelekom;3558152;;
Albania Albtelekom;3558612;;
Albania Albtelekom;3558712;;
Albania Albtelekom;3558752;;
Albania Albtelekom;3558812;;
Albania Albtelekom;3558852;;
Albania Albtelekom;3558912;;
Albania Albtelekom;3558932;;
Albania Mobile AMC;35568;;
Albania Mobile Eagle;35567;;
Albania Mobile Plus;35566;;
Albania Mobile Vodafone;35569;;
Albania OLO;3554249;;
Albania OLO;3554250;;
Albania OLO;3554251;;
Albania OLO;3554252;;
Albania Tirana;355422;;
Albania Tirana;355423;;
Albania Tirana Region;3554;;
Albania Vlore;35533;;
Algeria;213;;
Algeria Algiers;21321;;
Algeria CAT;2131;;
Algeria Mobile;2136;;
Algeria Mobile;2137;;
Algeria Mobile;21361;;
Algeria Mobile;21390;;
Algeria Mobile;21391;;
Algeria Mobile;21392;;
Algeria Mobile;21393;;
Algeria Mobile;21394;;
Algeria Mobile;21395;;
Algeria Mobile;21396;;
Algeria Mobile;21397;;
Algeria Mobile;21398;;
Algeria Mobile;21399;;
Algeria Mobile Mobilis;21366;;
Algeria Mobile Mobilis;21369;;
Algeria Mobile Orascom;21377;;
Algeria Mobile Orascom;21379;;
Algeria Mobile Orascom;213790;;
Algeria Mobile Orascom;213791;;
Algeria Mobile Orascom;213792;;
Algeria Mobile Orascom;213793;;
Algeria Mobile Orascom;213794;;
Algeria Mobile Orascom;213795;;
Algeria Mobile Orascom;213796;;
Algeria Mobile Orascom;213797;;
Algeria Mobile Wataniya;2135;;
Algeria Mobile Wataniya;21355;;
Algeria Mobile Wataniya;21356152;;
American Samoa;1684;;
American Samoa Mobile;16842;;
Andorra;376;;
Andorra Mobile;3763;;
Andorra Mobile;3764;;
Andorra Mobile;3765;;
Andorra Mobile;3766;;
Angola;244;;
Angola Mobile;2449;;
Angola Mobile;24491;;
Angola Mobile;244950;;
Angola Mobile Unitel;24492;;
Anguilla;1264;;
Anguilla Mobile;1264235;;
Anguilla Mobile;1264469;;
Anguilla Mobile;1264476;;
Anguilla Mobile;1264536;;
Anguilla Mobile;1264537;;
Anguilla Mobile;1264538;;
Anguilla Mobile;1264539;;
Anguilla Mobile;1264543;;
Anguilla Mobile;1264581;;
Anguilla Mobile;1264582;;
Anguilla Mobile;1264583;;
Anguilla Mobile;1264584;;
Anguilla Mobile;1264729;;
Anguilla Mobile;1264772;;
Antarctica;672;;
Antarctica;672178;;
Antigua;1268;;
Antigua Mobile;126872;;
Antigua Mobile;126877;;
Antigua Mobile;1268464;;
Antigua Mobile;1268723;;
Antigua Mobile;1268724;;
Antigua Mobile;1268725;;
Antigua Mobile;1268727;;
Antigua Mobile;1268728;;
Antigua Mobile;1268729;;
Antigua Mobile;1268764;;
Antigua Mobile;1268773;;
Antigua Mobile;1268774;;
Antigua Mobile;1268780;;
Antigua Mobile;1268781;;
Antigua Mobile;1268782;;
Antigua Mobile;1268783;;
Antigua Mobile;1268784;;
Antigua Mobile;1268785;;
Antigua Mobile;1268786;;
Antigua Mobile;1268788;;
Antigua Mobile;1268789;;
Argentina;54;;
Argentina Buenos Aires;5411;;
Argentina Buenos Aires;54114;;
Argentina Cordoba;54351;;
Argentina La Plata;54221;;
Argentina Mar Del Plata;54223;;
Argentina Mendoza;54261;;
Argentina Mobile;549;;
Argentina Mobile;5414;;
Argentina Mobile;54153;;
Argentina Mobile;54167;;
Argentina Mobile;54193;;
Argentina Mobile;54197;;
